Latitude,Longitude,Name,State,Operational Status
8.992853,7.456738,"National Reference Laboratory, Gaduwa",Abuja,Activated
6.516408,3.370705,Nigeria Institute of Medical Research,Lagos,Activated
6.517904,3.35371, Lagos University Teaching Hospital,Lagos,Activated
6.52349,3.377037,Lagos Biobank Laboratory,Lagos,Activated
6.732618,6.189706,Irrua Teaching Hospital ,Edo,Activated
7.680807,4.456403,"African Centre for Genomics of Infectious Diseases,Ede",Osun,Activated
7.357341,3.874401,"University College Hospital Virology Laboratory,Ibadan ",Oyo,Activated
6.332935,8.108142,"Alex Ekwueme Federal University Teaching Hospital,Abakiliki",Ebonyi,Activated
9.048621,7.537909,Defence Reference Laboratory,Abuja,Activated
9.736168,8.813009,"National Vertinary Reference Laboratory, Vom",Plateau,Activated
11.964341,8.550219,Aminu Kano Teaching Hospital,Kano,Activated
10.549593,7.45168,DNA Laboratory ,Kaduna,In- Progress
11.826968,13.181217,University of Maiduguri Teaching Hospital,Maiduguri,In- Progress
4.900893,6.929375,University of Port Harcourt Teaching Hospital,Rivers,In- Progress
13.031406,5.230949,Tamred Laboratory,Sokoto,In- Progress
